StimNum,Key,KeyNum,Symb,Symb_R,Symb_G,X_pos,Y_pos,Hand,Sound_P,Sound_N,Beep,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,RT_Hand_Bool.thisRepN,RT_Hand_Bool.thisTrialN,RT_Hand_Bool.thisN,RT_Hand_Bool.thisIndex,TR_Hand_Bool.thisRepN,TR_Hand_Bool.thisTrialN,TR_Hand_Bool.thisN,TR_Hand_Bool.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,TR_Old_Pre_Bool.thisRepN,TR_Old_Pre_Bool.thisTrialN,TR_Old_Pre_Bool.thisN,TR_Old_Pre_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,TR_Old_Post_Bool.thisRepN,TR_Old_Post_Bool.thisTrialN,TR_Old_Post_Bool.thisN,TR_Old_Post_Bool.thisIndex,CR_New_Bool.thisRepN,CR_New_Bool.thisTrialN,CR_New_Bool.thisN,CR_New_Bool.thisIndex,CR_Grp_Stop_Bool.thisRepN,CR_Grp_Stop_Bool.thisTrialN,CR_Grp_Stop_Bool.thisN,CR_Grp_Stop_Bool.thisIndex,CR_New_Iter_Stop.thisRepN,CR_New_Iter_Stop.thisTrialN,CR_New_Iter_Stop.thisN,CR_New_Iter_Stop.thisIndex,symb_map,symb_remap,Remap_Pair_1,Remap_Pair_2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_CR_New_Text.started,Instr_CR_New_Text.stopped,Instr_CR_New_Press.keys,Instr_CR_New_Press.rt,Instr_CR_New_Press.started,Instr_CR_New_Press.stopped,Pre_Trial_Rec_Frame.started,Pre_Trial_Rec_Frame.stopped,stim_val,proposed_choice,key_num,stim_type,key,block_type,remap,repeat_count,trial_Count,grp_stop,grp_swap,block_num,prep_time,session,actual_press,rt,actual_choice,correct,RT_Rec_Frame_Stop.started,RT_Rec_Frame_Stop.stopped,RT_Stim_Image_Stop.started,RT_Stim_Image_Stop.stopped,RT_Press_Stop.keys,RT_Press_Stop.corr,RT_Press_Stop.started,RT_Press_Stop.stopped,CR_Feedback_Coin_Old.started,CR_Feedback_Coin_Old.stopped,RT_Rec_Frame_Feedback.started,RT_Rec_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,RT_Press_Stop.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,h,0,media/djnb.png,media/djnb_r.png,media/djnb_g.png,-0.038,0.075,media/hand.png,media/coin.wav,media/buzz.wav,media/beep.wav,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
1,u,1,media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,None,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
2,i,2,media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,None,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
3,l,3,media/dgnb.png,media/dgnb_r.png,media/dgnb_g.png,0.1,0.04,None,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
4,h,0,media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,-0.038,0.075,None,None,None,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
5,u,1,media/dfnb.png,media/dfnb_r.png,media/dfnb_g.png,0.014,0.1,None,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
6,i,2,media/dcnb.png,media/dcnb_r.png,media/dcnb_g.png,0.057,0.08,None,None,None,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
7,l,3,media/dmnb.png,media/dmnb_r.png,media/dmnb_g.png,0.1,0.04,None,None,None,None,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1, 2, 3, 4, 6, 5, 7)","[2, 1, 0, 3, 4, 7, 5, 6]","[0, 2]","[5, 7]",7.836871200008318,None,space,0.479729300015606,7.836871200008318,None,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,8.361091600032523,None,h,0.18699259997811168,8.361091600032523,None,8.59132090001367,None,media/ddnb.png,4,0,Symb,h,CR,1,0,0,1,0,1,99,1,a,99,8,0,8.832066699978895,10.804329599952325,8.832066699978895,None,None,0,8.832066699978895,None,10.888199199992231,None,10.890176799963228,None,10.890176799963228,None,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,11.948577899951488,None,media/ddnb.png,4,0,Symb,h,CR,1,1,0,1,0,1,99,1,u,1.1693084000144154,1,0,12.162778900004923,None,12.162778900004923,None,u,0,12.162778900004923,None,13.403952899924478,None,13.403630599961616,None,13.403630599961616,None,1.1693084000144154,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,14.438136199954897,None,media/ddnb.png,4,0,Symb,h,CR,1,2,0,1,0,1,99,1,i,0.30051900004036725,2,0,14.66354700003285,None,14.66354700003285,None,i,0,14.66354700003285,None,15.03711759992875,None,15.031680400017649,None,15.031680400017649,None,0.30051900004036725,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,16.08852739993017,None,media/ddnb.png,4,0,Symb,h,CR,1,3,0,1,0,1,99,1,l,0.22114979999605566,3,0,16.294856399996206,None,16.294856399996206,None,l,0,16.294856399996206,None,16.571257199998943,None,16.577119100023992,None,16.577119100023992,None,0.22114979999605566,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,17.619779099943116,None,media/ddnb.png,4,0,Symb,h,CR,1,4,0,1,0,1,99,1,h,0.2695273000281304,0,1,17.830780199961737,None,17.830780199961737,None,h,1,17.830780199961737,None,18.18792499997653,None,18.187012000009418,18.48822920001112,18.187012000009418,18.48822920001112,0.2695273000281304,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,18.63325850002002,None,media/dfnb.png,6,2,Symb,i,CR,1,0,1,1,0,1,99,1,i,1.6848625999409705,2,1,18.84705560002476,None,18.84705560002476,None,i,1,18.84705560002476,None,20.603770099999384,None,20.60889929998666,20.920897100004368,20.60889929998666,20.920897100004368,1.6848625999409705,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,21.072888599941507,None,media/dcnb.png,5,1,Symb,u,CR,1,0,2,1,0,1,99,1,a,99,8,1,21.297968599945307,23.288493799977005,21.297968599945307,None,None,0,21.297968599945307,None,23.354820199962706,None,23.352243199944496,23.654642699984834,23.352243199944496,23.654642699984834,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,23.811155000003055,None,media/dinb.png,2,2,Symb,i,CR,1,0,3,1,0,1,99,1,a,99,8,1,24.03909370000474,26.037533800001256,24.03909370000474,None,None,0,24.03909370000474,None,26.08727859999053,None,26.08884790004231,26.405088100000285,26.08884790004231,26.405088100000285,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,26.547111699939705,None,media/dmnb.png,7,3,Symb,l,CR,1,0,4,1,0,1,99,1,a,99,8,1,26.765832599950954,28.755153100006282,26.765832599950954,None,None,0,26.765832599950954,None,28.821479499991984,None,28.81470550002996,29.121490499936044,28.81470550002996,29.121490499936044,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,29.28789539996069,None,media/dnnb.png,1,1,Symb,u,CR,1,0,5,1,0,1,99,1,a,99,8,0,29.489458699943498,31.48787309997715,29.489458699943498,None,None,0,29.489458699943498,None,31.554199499962852,None,31.550067799980752,None,31.550067799980752,None,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,32.59764249995351,None,media/dnnb.png,1,1,Symb,u,CR,1,1,5,1,0,1,99,1,u,0.0344381999457255,1,1,32.81762859993614,None,32.81762859993614,None,u,1,32.81762859993614,None,32.90377170001157,None,32.90849719999824,33.221380900009535,32.90849719999824,33.221380900009535,0.0344381999457255,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,33.36023460002616,None,media/dcnb.png,5,1,Symb,u,CR,1,0,6,1,0,1,99,1,a,99,8,1,33.59550759999547,35.588616500026546,33.59550759999547,None,None,0,33.59550759999547,None,35.65494290001225,None,35.64707750000525,35.955379399936646,35.64707750000525,35.955379399936646,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,36.12155119993258,None,media/dmnb.png,7,3,Symb,l,CR,1,0,7,1,0,1,99,1,a,99,8,1,36.333121499978006,38.322290699929,36.333121499978006,None,None,0,36.333121499978006,None,38.388617099914704,None,38.38158169994131,38.68895460001659,38.38158169994131,38.68895460001659,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,38.85328109993134,None,media/ddnb.png,4,0,Symb,h,CR,1,0,8,1,0,1,99,1,a,99,8,0,39.05731619999278,41.05528259999119,39.05731619999278,None,None,0,39.05731619999278,None,41.12160899997689,None,41.115966800018214,None,41.115966800018214,None,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,42.163510099984705,None,media/ddnb.png,4,0,Symb,h,CR,1,1,8,1,0,1,99,1,h,0.12845499999821186,0,1,42.37977769994177,None,42.37977769994177,None,h,1,42.37977769994177,None,42.57197489999235,None,42.57165689999238,42.88819299999159,42.57165689999238,42.88819299999159,0.12845499999821186,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,43.051045099971816,None,media/dgnb.png,3,3,Symb,l,CR,1,0,9,1,0,1,99,1,a,99,8,1,43.277910199947655,45.271507999976166,43.277910199947655,None,None,0,43.277910199947655,None,45.33783439996187,None,45.33023680001497,45.63847030000761,45.33023680001497,45.63847030000761,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,45.79538849997334,None,media/djnb.png,0,0,Symb,h,CR,1,0,10,1,0,1,99,1,a,99,8,1,46.01973099994939,None,46.01973099994939,None,None,0,46.01973099994939,None,48.053993399976754,None,48.05527330003679,48.35537959996145,48.05527330003679,48.35537959996145,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,48.53086970001459,None,media/dinb.png,2,2,Symb,i,CR,1,0,11,1,0,1,99,1,a,99,8,1,48.73945819993969,None,48.73945819993969,None,None,0,48.73945819993969,None,50.77177729995456,None,50.77323960000649,51.088088499964215,50.77323960000649,51.088088499964215,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,51.22789179999381,None,media/dnnb.png,1,1,Symb,u,CR,1,0,12,1,0,1,99,1,a,99,8,0,51.45320500002708,53.438181999954395,51.45320500002708,None,None,0,51.45320500002708,None,53.5045083999401,None,53.49468669993803,None,53.49468669993803,None,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,54.5380395000102,None,media/dnnb.png,1,1,Symb,u,CR,1,1,12,1,0,1,99,1,u,0.48359780001919717,1,1,54.74509809992742,None,54.74509809992742,None,u,1,54.74509809992742,None,55.28711800000165,None,55.284530799952336,55.58812989993021,55.284530799952336,55.58812989993021,0.48359780001919717,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,55.75937809993047,None,media/djnb.png,0,0,Symb,h,CR,1,0,13,1,0,1,99,1,a,99,8,1,55.973021199926734,57.97065379994456,55.973021199926734,None,None,0,55.973021199926734,None,58.020398599933834,None,58.01143079996109,58.320840499945916,58.01143079996109,58.320840499945916,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,58.491579500027,None,media/dfnb.png,6,2,Symb,i,CR,1,0,14,1,0,1,99,1,a,99,8,0,58.71831929998007,60.705840199952945,58.71831929998007,None,None,0,58.71831929998007,None,60.75558499994222,None,60.755120799993165,None,60.755120799993165,None,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,61.77806369995233,None,media/dfnb.png,6,2,Symb,i,CR,1,1,14,1,0,1,99,1,i,1.705159300006926,2,1,61.99499719997402,None,61.99499719997402,None,i,1,61.99499719997402,None,63.77115120000672,None,63.76555639994331,64.07228980003856,63.76555639994331,64.07228980003856,1.705159300006926,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,64.24734280002303,None,media/dgnb.png,3,3,Symb,l,CR,1,0,15,1,0,1,99,1,a,99,8,1,64.46736060001422,66.45402890001424,64.46736060001422,None,None,0,64.46736060001422,None,66.52035529999993,None,66.51367789995857,66.82090349995997,66.51367789995857,66.82090349995997,,1,1,2021_Jan_31_1811,Prep_vs_Init,2020.1.3,60.073517971617534,
